Date,Price,Open,High,Low,Vol.,Change %
14/09/2017,35660.04,35464.34,35713.91,35448.01,128.31M,0.0055
13/09/2017,35464.34,35397.52,35464.34,35221.27,119.89M,0.0019
12/09/2017,35397.52,35664.94,35665.61,35364.73,373.49M,-0.0075
11/09/2017,35664.94,35957.24,36030.89,35621,114.72M,-0.008
08/09/2017,35953.44,36112.37,36175.23,35901.02,152.47M,-0.0044
07/09/2017,36112.37,35605.3,36141.7,35559.76,222.67M,0.0141
06/09/2017,35609.07,35403.92,35745.7,35348.94,281.84M,0.0058
05/09/2017,35403.92,35504.62,35521.1,35326.19,59.50M,-0.0028
31/08/2017,35504.62,35629.13,35629.97,35417.16,202.37M,-0.0035
30/08/2017,35629.13,36166.16,36169.04,35515.11,239.91M,-0.0148
29/08/2017,36165.93,36317.31,36320.58,35747.97,144.45M,-0.0042
28/08/2017,36317.31,36646.46,36651.25,36241.81,348.11M,-0.009
25/08/2017,36646.46,36575.86,36648.59,36491.93,422.45M,0.0019
24/08/2017,36575.86,37063.41,37063.47,36538.95,238.16M,-0.013
23/08/2017,37059.21,36962.48,37088.44,36886.32,264.28M,0.0026
22/08/2017,36962.48,36584.44,37074.42,36572.06,144.31M,0.0103
21/08/2017,36584.44,36920.56,37050,36550.28,368.38M,-0.0091
18/08/2017,36920.56,36316.58,36923.71,36267.39,236.62M,0.0166
17/08/2017,36316.58,36102.38,36364.81,35871.31,225.14M,0.0059
16/08/2017,36102.38,37096.6,37097.26,36008.56,224.77M,-0.0268
15/08/2017,37096.6,37950.96,37954.43,37007.13,391.63M,-0.0225
14/08/2017,37950.96,38198.6,38241.67,37949.49,316.11M,-0.0065
11/08/2017,38198.6,38102.85,38227.1,38102.85,353.64M,0.0025
10/08/2017,38102.85,38144.02,38185.32,37944.91,362.67M,-0.0011
09/08/2017,38144.02,37999.56,38186.79,37961.43,328.65M,0.0038
08/08/2017,37999.56,37525.38,38005.8,37451.09,218.21M,0.0126
07/08/2017,37525.38,37425.15,37584.48,37292.56,254.48M,0.0027
04/08/2017,37425.15,37135.23,37476.69,37096.68,515.48M,0.0078
03/08/2017,37135.23,36905.06,37135.67,36901.21,279.15M,0.0062
02/08/2017,36905.06,36720.62,36905.06,36252.17,251.01M,0.005
01/08/2017,36720.62,35847.75,36728.33,35444,433.55M,0.0243
31/07/2017,35847.75,36881.74,36933.43,35793.63,490.16M,-0.0276
28/07/2017,36864.71,37245.17,37655.46,36506.35,525.52M,-0.0102
27/07/2017,37245.17,36740.77,37258.33,36704.65,542.80M,0.0137
26/07/2017,36740.77,35533,36794.22,35504.88,335.33M,0.034
25/07/2017,35533,34652.52,35597.13,34652.52,513.44M,0.0254
24/07/2017,34652.52,34020.37,34685.4,33999.14,293.75M,0.0186
21/07/2017,34020.37,33695.83,34045.15,33692.29,378.19M,0.0096
20/07/2017,33695.83,33514.93,33702.61,33435.98,191.43M,0.0054
19/07/2017,33514.93,33436.61,33658.67,33436.61,331.43M,0.0023
18/07/2017,33436.61,33301.43,33436.61,33222.98,323.54M,0.0041
17/07/2017,33301.43,33261.66,33373.36,33052.13,322.81M,0.0012
14/07/2017,33261.66,33246.91,33301.53,33183.36,311.61M,0.0004
13/07/2017,33246.91,32981.63,33257.19,32981.29,288.86M,0.008
12/07/2017,32981.63,32827.98,32981.63,32812.72,270.86M,0.0047
11/07/2017,32827.98,32614.6,32910.31,32546.08,218.76M,0.0063
10/07/2017,32620.84,32459.37,32644.88,32432.59,182.07M,0.005
07/07/2017,32459.17,32354.78,32459.17,32219.72,212.38M,0.0032
06/07/2017,32354.78,32302.32,32354.78,32149.69,168.51M,0.0016
05/07/2017,32302.32,32410.2,32411.7,32210.2,311.38M,-0.0033
04/07/2017,32410.2,32769.8,32770.59,32406.84,206.18M,-0.011
03/07/2017,32769.83,33117.48,33132.44,32748.6,162.34M,-0.0105
30/06/2017,33117.48,33269.84,33275.64,32758.94,345.54M,-0.0046
29/06/2017,33269.84,32657.3,33269.84,32657.3,431.16M,0.0188
28/06/2017,32657.3,32122.14,32662.34,32065.66,386.24M,0.0167
23/06/2017,32122.14,32928.04,32952.38,32102.86,417.53M,-0.0245
22/06/2017,32928.44,33482.61,33501.68,32450.3,509.61M,-0.0164
21/06/2017,33477.89,34381.7,34384.7,33397.48,508.61M,-0.0261
20/06/2017,34375.6,34134.67,34375.6,33689.78,392.27M,0.007
19/06/2017,34135.1,33810.96,34146.51,33810.96,482.52M,0.0096
16/06/2017,33810.56,33797.84,33863.69,33567.76,493.24M,0.0004
15/06/2017,33797.84,33598.2,33983.89,33494.29,573.60M,0.0059
14/06/2017,33598.2,33141.85,33602.39,33091.26,759.05M,0.0138
13/06/2017,33141.85,33235.28,33257.6,33095.9,408.72M,-0.0029
12/06/2017,33236.7,33276.68,33445.99,32962.16,501.08M,-0.0012
09/06/2017,33276.68,32937.98,33280.18,32937.98,686.30M,0.0103
08/06/2017,32937.98,32686.72,33119.12,32686.72,528.14M,0.0077
07/06/2017,32686.72,32200.38,32686.72,31624.16,497.11M,0.0151
06/06/2017,32200.38,32578.38,32751.69,31978.1,744.88M,-0.0116
05/06/2017,32578.38,31371.63,32666.13,31371.63,640.44M,0.0385
02/06/2017,31371.63,30314.14,31373.98,30314.14,708.41M,0.0349
01/06/2017,30314.14,29498.31,30314.14,29498.31,434.43M,0.0277
31/05/2017,29498.31,29276.59,29534.11,28959.58,343.19M,0.0074
30/05/2017,29281.04,29065.86,29512.26,29065.86,832.52M,0.0074
26/05/2017,29064.52,28467.61,29102.03,28467.61,725.53M,0.021
25/05/2017,28467.61,28286.43,28514.31,28245.88,418.94M,0.0064
24/05/2017,28286.43,28093.3,28329.03,28093.3,311.28M,0.0069
23/05/2017,28093.3,28078.3,28209.79,28047.66,212.69M,0.0005
22/05/2017,28078.3,28113.38,28228.45,28036.4,208.34M,-0.0012
19/05/2017,28113.44,28101.63,28154.52,27994.01,305.97M,0.0004
18/05/2017,28101.63,27900.44,28129.64,27863.23,353.14M,0.0072
17/05/2017,27900.44,27609.67,27901.29,27609.51,371.46M,0.0105
16/05/2017,27609.67,27513.69,27615.28,27277.1,569.18M,0.0035
15/05/2017,27513.69,28192.46,28227.09,27492.41,670.96M,-0.0241
12/05/2017,28192.46,28423.7,28873.44,28190.38,1.06B,-0.0081
11/05/2017,28423.7,27546.68,28608.94,27546.68,801.07M,0.0318
10/05/2017,27546.68,26756.21,27722.48,26707.37,584.12M,0.0295
09/05/2017,26756.21,26418.33,26772.21,26411.03,539.21M,0.0128
08/05/2017,26419.17,26235.63,26428.42,26175.1,267.64M,0.007
05/05/2017,26235.63,26166.8,26256.35,26124.81,442.83M,0.0026
04/05/2017,26166.8,26116.79,26166.8,25998.22,255.60M,0.0019
03/05/2017,26117.15,25965.18,26122.02,25963.28,264.49M,0.0059
02/05/2017,25965.18,25758.51,25977.23,25751.57,191.02M,0.0077
28/04/2017,25767.26,25753,25893.91,25639.34,366.47M,0.0006
27/04/2017,25753,25620.94,25804.14,25618.26,360.01M,0.0052
26/04/2017,25620.94,25818.87,25903.52,25611.8,255.70M,-0.0077
25/04/2017,25818.87,25747.05,25857.1,25745.47,127.42M,0.0028
24/04/2017,25747.05,25189.37,25785.63,25159.24,211.76M,0.0221
21/04/2017,25189.37,25282.75,25318.02,25177.28,171.60M,-0.0039
20/04/2017,25288.11,25331.77,25342.03,25245.51,147.89M,-0.0017
19/04/2017,25331.77,25207.07,25331.77,25181.14,232.30M,0.0045
18/04/2017,25218.12,25510.17,25510.17,25213.8,246.09M,-0.0114
13/04/2017,25510.01,25496.82,25530.34,25438.52,349.28M,0.0005
12/04/2017,25496.71,25478.06,25514.28,25441.66,247.66M,0.0007
11/04/2017,25478.06,25626.37,25637.96,25468.88,402.67M,-0.0058
10/04/2017,25626.37,25746.52,25749.87,25575.33,191.83M,-0.0047
07/04/2017,25746.52,25755.18,25818.98,25656.23,107.94M,-0.0003
06/04/2017,25755.18,25471.69,25764.45,25471.69,241.51M,0.0111
05/04/2017,25471.69,25266.15,25471.69,25255.52,158.70M,0.0081
04/04/2017,25266.15,25273.03,25339.7,25243.18,180.12M,-0.0003
03/04/2017,25273.03,25516.34,25555.73,25251.19,97.69M,-0.0095
31/03/2017,25516.34,25533.82,25561.99,25444.13,377.51M,-0.0007
30/03/2017,25533.82,25267.68,25533.82,25212.17,294.18M,0.0105
29/03/2017,25267.68,25406.72,25415.22,25214.59,521.66M,-0.0055
28/03/2017,25406.72,25485.17,25514.97,25303.19,191.95M,-0.0031
27/03/2017,25485.17,25454.93,25497.56,25406.27,557.06M,0.0012
24/03/2017,25454.93,25512.69,25516.94,25380.58,142.00M,-0.0023
23/03/2017,25514.03,25514.09,25558.33,25453.07,115.11M,0
22/03/2017,25514.09,25558.57,25561.25,25495.57,198.84M,-0.0017
21/03/2017,25558.57,25671.55,25680.63,25484.9,153.72M,-0.0044
20/03/2017,25671.55,25653.16,25671.55,25549.65,495.24M,0.0007
17/03/2017,25653.16,25418.08,25678.51,25408.44,151.38M,0.0092
16/03/2017,25418.08,25301.23,25469.06,25278.87,279.95M,0.0046
15/03/2017,25301.23,25284.56,25315.56,25235.94,233.78M,0.0007
14/03/2017,25284.56,25136.63,25284.56,25041.41,227.76M,0.0059
